Norte;Este ;Muestra;zona;MgO;Al2O3;SiO2;P2O5;S;Cl;K2O;CaO;TiO2;V;Cr;MnO;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Ag;Cd;Sn;Ba;La;Ce;Hf;Ta;W;Au;Hg;Tl;Pb;Bi;Th;U
6970981;357950;8;1;1.998;0.759;18.966;0.000;0.163;0.021;0.054;0.396;0.005;0.009;0.000;0.010;9.014;0.000;0.080;39.198;0.000;0.000;0.000;0.000;0.002;0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.011;0.000;0.063;0.000
6970981;357950;8;1;0.000;1.855;40.546;0.000;0.020;0.022;0.042;1.209;0.002;0.020;0.000;0.062;26.787;0.054;0.007;4.645;0.000;0.000;0.000;0.006;0.000;0.000;0.003;0.000;0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.024;0.017;0.000;0.000
6970981;357950;8;1;0.000;3.151;55.303;0.024;0.030;0.005;0.057;3.230;0.060;0.005;0.000;0.075;25.042;0.071;0.009;2.618;0.000;0.000;0.000;0.003;0.018;0.000;0.008;0.000;0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.015;0.009;0.000;0.000
6970981;357950;8;1;0.000;7.438;40.776;0.085;0.080;0.053;0.028;8.510;0.013;0.009;0.000;0.095;7.346;0.000;0.010;14.696;0.000;0.004;0.000;0.000;0.073;0.000;0.007;0.000;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.044;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.008;0.000
6970981;357950;8;1;1.871;7.491;41.492;0.074;0.141;0.043;0.118;5.432;0.092;0.029;0.011;0.073;19.868;0.082;0.015;23.189;0.000;0.000;0.000;0.002;0.045;0.004;0.008;0.000;0.018;0.000;0.000;0.000;0.000;0.000;0.000;0.007;0.000;0.000;0.000;0.000;0.000;0.010;0.000;0.019;0.004
6970981;357950;8;1;6.317;7.889;26.216;0.082;0.055;0.049;0.064;8.917;0.022;0.022;0.000;0.194;12.313;0.000;0.015;4.729;0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.021;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
6970981;357950;8;1;1.347;3.854;39.339;0.100;0.080;0.070;0.083;11.796;0.004;0.013;0.000;0.101;26.321;0.100;0.011;9.231;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.013;0.009;0.000;0.000
6970981;357950;8;1;0.000;8.549;23.354;0.221;0.025;0.027;0.000;21.202;0.058;0.004;0.000;0.170;5.457;0.000;0.000;0.524;0.001;0.001;0.000;0.000;0.062;0.001;0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
6970981;357950;8;1;0.000;4.833;42.564;0.058;0.006;0.069;0.124;4.053;0.069;0.024;0.049;0.076;15.690;0.058;0.020;17.804;0.000;0.003;0.000;0.002;0.056;0.000;0.006;0.000;0.013;0.000;0.003;0.000;0.000;0.000;0.123;0.002;0.000;0.000;0.000;0.000;0.000;0.010;0.000;0.012;0.002
6970968;358147;9;1;0.000;6.280;25.982;0.033;0.102;0.067;0.168;3.215;0.083;0.043;0.000;0.093;33.161;0.256;0.035;12.662;0.000;0.000;0.000;0.009;0.013;0.000;0.006;0.000;0.006;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.038;0.020;0.000;0.000
